topic,ideology,comp,n1,n2,units,vocab,jsd,cos,llr,top1,top2
GunControl,C,Jan_Apr,234,239,nouns,1537,0.134458,0.858254,4039.03,people;man;bill;shooting;year;state;school;police;violence;control,bill;school;man;people;shooting;violence;new;police;year;law
GunControl,C,Jan_May,234,219,tokens,2138,0.12745,0.801609,5324.77,two;offic;shot;peopl;court;hous;law;state;kill;bill,two;man;democrat;one;peopl;booker;student;law;shot;kill
GunControl,C,Jan_May,234,219,nouns,1448,0.146696,0.830416,4062.32,people;state;control;police;bill;violence;man;school;shooting;year,people;man;student;law;year;control;police;violence;shooting;school
GunControl,C,Jan_Jun,234,203,tokens,2132,0.143885,0.733421,5816.3,say;two;court;hous;law;offic;bill;control;new;school,law;democrat;one;man;old;offic;citi;virginia;beach;chicago
GunControl,C,Jan_Jun,234,203,nouns,1453,0.166411,0.753826,4521.71,people;man;bill;control;police;state;violence;school;shooting;year,city;chicago;man;shooting;year;violence;people;virginia;police;beach
GunControl,C,Jan_Jul,234,212,tokens,2111,0.145344,0.730662,5679.19,say;two;kill;law;control;offic;bill;school;hous;court,weekend;offic;say;law;citi;juli;kill;chicago;old;man
GunControl,C,Jan_Jul,234,212,nouns,1453,0.166719,0.75371,4394.51,people;man;shooting;state;bill;year;police;control;school;violence,july;law;city;people;chicago;year;shooting;violence;police;man
GunControl,C,Jan_Aug,234,818,tokens,3436,0.13545,0.75963,9422.02,two;kill;shot;court;new;law;bill;hous;offic;school,senat;us;ohio;law;kill;democrat;presid;paso;el;trump
GunControl,C,Jan_Aug,234,818,nouns,2559,0.162861,0.745749,7747.32,people;man;control;bill;police;year;state;school;violence;shooting,control;paso;president;el;police;shooting;violence;texas;trump;people
GunControl,C,Jan_Sep,234,304,tokens,2345,0.134217,0.769024,6622.99,democrat;say;school;shot;offic;court;hous;bill;kill;two,would;us;say;firearm;report;trump;kill;mass;democrat;texa
GunControl,C,Jan_Sep,234,304,nouns,1630,0.154626,0.790217,5136.02,people;man;police;control;bill;violence;shooting;year;state;school,control;state;year;police;law;people;texas;shooting;violence;trump
GunControl,C,Feb_Mar,337,328,tokens,2669,0.135299,0.716165,8669.38,presid;check;offic;us;trump;parkland;democrat;bill;hous;school,firearm;march;two;ardern;one;mosqu;christchurch;zealand;ban;nation
