k,comp1,comp2,Hop,comp,Features,bacc.protos,se.protos,bacc.svm,se.svm,n,corr,correlation,diff,by
16,Apr,Jun,2,Apr-Jun,SBERT,0.5574,0.0053,0.634,0.0078,30,0.649,strong (.6 .8],0.0766,Month
16,Apr,Jul,3,Apr-Jul,BoW,0.565,0.0059,0.6783,0.008,30,0.5406,moderate (.4 .6],0.1133,Month
16,Apr,Jul,3,Apr-Jul,SBERT,0.5447,0.0042,0.6316,0.0087,30,0.5557,moderate (.4 .6],0.0869,Month
16,Apr,Aug,4,Apr-Aug,BoW,0.5761,0.0063,0.6935,0.0093,30,0.6621,strong (.6 .8],0.1174,Month
16,Apr,Aug,4,Apr-Aug,SBERT,0.5615,0.0056,0.6528,0.009,30,0.7768,strong (.6 .8],0.0913,Month
16,Apr,Sep,5,Apr-Sep,BoW,0.5816,0.0075,0.6961,0.0101,30,0.7388,strong (.6 .8],0.1145,Month
16,Apr,Sep,5,Apr-Sep,SBERT,0.5595,0.0065,0.6487,0.0079,30,0.6966,strong (.6 .8],0.0893,Month
16,May,Jun,1,May-Jun,BoW,0.5626,0.0051,0.6549,0.0064,30,0.5458,moderate (.4 .6],0.0922,Month
16,May,Jun,1,May-Jun,SBERT,0.5512,0.0047,0.6226,0.007,30,0.5189,moderate (.4 .6],0.0714,Month
16,May,Jul,2,May-Jul,BoW,0.5642,0.0058,0.6706,0.007,30,0.5185,moderate (.4 .6],0.1064,Month
16,May,Jul,2,May-Jul,SBERT,0.5482,0.0037,0.6306,0.0056,30,0.4798,moderate (.4 .6],0.0825,Month
16,May,Aug,3,May-Aug,BoW,0.571,0.0078,0.69,0.0079,30,0.6601,strong (.6 .8],0.119,Month
16,May,Aug,3,May-Aug,SBERT,0.562,0.0076,0.651,0.0092,30,0.8306,very strong (.8 1],0.0889,Month
16,May,Sep,4,May-Sep,BoW,0.5821,0.0066,0.6931,0.0081,30,0.6734,strong (.6 .8],0.111,Month
