k,comp1,comp2,Hop,comp,Features,bacc.protos,se.protos,bacc.svm,se.svm,n,corr,correlation,diff,by
8,May,Jun,1,May-Jun,SBERT,0.5851,0.0063,0.6226,0.007,30,0.6877,strong (.6 .8],0.0375,Month
8,May,Jul,2,May-Jul,BoW,0.5912,0.0068,0.6706,0.007,30,0.6946,strong (.6 .8],0.0794,Month
8,May,Jul,2,May-Jul,SBERT,0.5825,0.0051,0.6306,0.0056,30,0.6213,strong (.6 .8],0.0481,Month
8,May,Aug,3,May-Aug,BoW,0.61,0.0091,0.69,0.0079,30,0.7722,strong (.6 .8],0.0799,Month
8,May,Aug,3,May-Aug,SBERT,0.6071,0.0085,0.651,0.0092,30,0.9128,very strong (.8 1],0.0439,Month
8,May,Sep,4,May-Sep,BoW,0.6233,0.0072,0.6931,0.0081,30,0.8183,very strong (.8 1],0.0698,Month
8,May,Sep,4,May-Sep,SBERT,0.602,0.0069,0.6531,0.0066,30,0.7461,strong (.6 .8],0.0511,Month
8,Jun,Jul,1,Jun-Jul,BoW,0.5785,0.0047,0.6321,0.0058,30,0.2507,low (.2 .4],0.0536,Month
8,Jun,Jul,1,Jun-Jul,SBERT,0.572,0.0037,0.6081,0.0042,30,0.5935,moderate (.4 .6],0.036,Month
8,Jun,Aug,2,Jun-Aug,BoW,0.6111,0.0077,0.6764,0.0077,30,0.7381,strong (.6 .8],0.0653,Month
8,Jun,Aug,2,Jun-Aug,SBERT,0.6044,0.0069,0.6468,0.0081,30,0.9217,very strong (.8 1],0.0424,Month
8,Jun,Sep,3,Jun-Sep,BoW,0.6273,0.0068,0.6884,0.0078,30,0.8045,very strong (.8 1],0.0612,Month
8,Jun,Sep,3,Jun-Sep,SBERT,0.6175,0.0064,0.6507,0.0081,30,0.7624,strong (.6 .8],0.0332,Month
8,Jul,Aug,1,Jul-Aug,BoW,0.5882,0.0089,0.6502,0.0077,30,0.7713,strong (.6 .8],0.062,Month
8,Jul,Aug,1,Jul-Aug,SBERT,0.5785,0.0083,0.6197,0.0082,30,0.8641,very strong (.8 1],0.0413,Month
8,Jul,Sep,2,Jul-Sep,BoW,0.6165,0.008,0.6815,0.0071,30,0.6876,strong (.6 .8],0.065,Month
8,Jul,Sep,2,Jul-Sep,SBERT,0.6022,0.0062,0.6387,0.0068,30,0.6972,strong (.6 .8],0.0365,Month
8,Aug,Sep,1,Aug-Sep,BoW,0.5908,0.0063,0.659,0.0085,30,0.7975,strong (.6 .8],0.0681,Month
8,Aug,Sep,1,Aug-Sep,SBERT,0.5765,0.0066,0.6138,0.0079,30,0.7814,strong (.6 .8],0.0373,Month
16,Jan,Feb,1,Jan-Feb,BoW,0.5985,0.0068,0.6333,0.0068,30,0.8348,very strong (.8 1],0.0348,Month
16,Jan,Feb,1,Jan-Feb,SBERT,0.5807,0.0073,0.6025,0.0071,30,0.9115,very strong (.8 1],0.0217,Month
16,Jan,Mar,2,Jan-Mar,BoW,0.6166,0.0068,0.6634,0.0077,30,0.7517,strong (.6 .8],0.0467,Month
